1.01	0.01	0.11	0.76	0.33	2.41	0.55	-0.33	-0.79	21.61
1	0.01	0.12	0.32	0.63	2.93	0.55	-0.33	-0.78	21.61
1	0.01	0.11	0.7	0.18	2.55	0.55	-0.33	-0.78	21.35
1	0.02	0.11	0.31	0.37	2.68	0.55	-0.32	-0.78	21.61
1	0.01	0.12	0.3	0.32	2.64	0.55	-0.33	-0.79	21.61
1	0	0.11	0.6	0.33	2.44	0.55	-0.33	-0.78	21.35
1	0.01	0.12	0.72	0.24	2.89	0.55	-0.32	-0.78	21.61
1	0.01	0.12	0.5	0.25	2.78	0.56	-0.33	-0.78	21.61
1.01	0.01	0.11	0.41	0.42	2.55	0.55	-0.33	-0.78	21.35
1	0.01	0.12	0.63	0.39	2.66	0.56	-0.33	-0.78	21.61
1	0.01	0.11	0.45	0.28	2.77	0.56	-0.33	-0.78	21.35
1.01	0.01	0.12	0.31	0.12	2.65	0.56	-0.33	-0.78	21.35
1.01	0	0.12	0.49	0.4	2.78	0.56	-0.32	-0.79	21.61
1	0.01	0.12	0.46	0.18	2.64	0.56	-0.32	-0.78	21.35
0.99	0.01	0.12	0.38	0.53	2.89	0.55	-0.33	-0.79	21.35
1	0.01	0.12	0.43	0.28	2.76	0.55	-0.32	-0.78	21.35
1	0.01	0.12	0.48	0.27	2.61	0.56	-0.32	-0.78	21.61
1.01	0.01	0.11	0.19	0.51	2.7	0.55	-0.32	-0.78	21.61
1	0.01	0.11	0.52	0.45	2.45	0.55	-0.32	-0.79	21.61
1	0.01	0.12	0.45	0.31	2.52	0.55	-0.32	-0.79	21.35
1	0.01	0.11	0.47	0.27	2.91	0.55	-0.32	-0.78	21.35
1	0.01	0.11	0.64	0.23	2.65	0.55	-0.33	-0.78	21.35
1.01	0.01	0.12	0.64	0.28	2.84	0.56	-0.33	-0.78	21.61
1	0.01	0.11	0.53	0.33	2.52	0.55	-0.32	-0.78	21.35
1	0.02	0.11	0.53	0.31	2.8	0.55	-0.32	-0.79	21.35
1	0.01	0.12	0.73	0.38	2.77	0.55	-0.32	-0.78	21.61
1	0.02	0.12	0.5	0.24	2.76	0.55	-0.32	-0.78	21.87
1.01	0.02	0.11	0.76	0.17	2.95	0.55	-0.33	-0.79	21.35
1	0.01	0.12	0.51	0.42	2.47	0.56	-0.33	-0.79	21.35
1	0.01	0.13	0.48	0.16	2.55	0.55	-0.33	-0.79	21.61
1	0.02	0.11	0.37	0.1	2.52	0.56	-0.33	-0.78	21.61
1	0.02	0.11	0.38	0.14	2.84	0.56	-0.33	-0.78	21.35
0.99	0.01	0.12	0.45	0.28	2.64	0.55	-0.33	-0.78	21.61
1	0.01	0.12	0.6	0.38	2.63	0.55	-0.33	-0.79	21.35
1	0.01	0.11	0.54	0.27	2.9	0.56	-0.33	-0.78	21.35
1	0.01	0.12	0.3	0.17	2.74	0.56	-0.33	-0.78	21.35
1	0.01	0.12	0.6	-0.04	2.62	0.56	-0.33	-0.79	21.35
1	0.01	0.12	0.61	0.33	2.64	0.56	-0.33	-0.79	21.35
1	0	0.12	0.67	0.11	2.56	0.55	-0.33	-0.78	21.87
1	0.01	0.11	0.68	0.17	2.87	0.55	-0.33	-0.77	21.61
1	0.01	0.11	0.35	0.24	2.51	0.55	-0.32	-0.79	21.35
1	0.01	0.11	0.63	0.2	2.66	0.54	-0.33	-0.79	21.35
1.01	0.01	0.12	0.52	0.27	2.54	0.55	-0.33	-0.79	21.35
0.99	0.01	0.11	0.79	0.3	3.01	0.55	-0.33	-0.78	21.35
1	0.02	0.11	1.15	0.15	2.82	0.55	-0.32	-0.78	21.61
0.95	0.14	0.08	4.06	1.1	-7.4	0.56	-0.32	-0.77	21.61
1.04	-0.04	0.19	-11.86	-0.39	3.17	0.55	-0.32	-0.78	21.35
1.18	0.29	0.11	-45.89	22.14	-15.46	0.54	-0.21	-0.78	21.61
7.44	0.84	1.66	11.39	29.7	-47.62	0.51	-0.21	-0.69	21.35
6.4	0.6	1.49	-25.74	21.21	-14.29	0.51	-0.16	-0.65	21.61
4.71	0.69	1.33	-1.92	8.77	-10.02	0.51	-0.12	-0.63	21.61
2.53	0.35	0.67	7.69	23.13	-23.41	0.5	-0.11	-0.62	21.61
0.59	0.01	0.05	47.31	20.54	3.12	0.5	-0.15	-0.62	21.61
-0.38	0.06	0.03	42.36	21.36	-8.51	0.48	-0.2	-0.64	21.61
-0.53	-0.09	0.14	38.43	-2	7.17	0.46	-0.25	-0.67	21.87
-0.58	0.34	0.06	34.18	2.51	19.39	0.44	-0.29	-0.7	21.61
-0.44	0.06	0.11	26.75	1.54	10.73	0.43	-0.32	-0.72	21.61
-0.38	0.03	-0.01	23.78	20.47	11.55	0.41	-0.34	-0.75	21.61
-0.34	0.01	-0.04	27.75	16.06	7.76	0.38	-0.37	-0.78	21.61
-0.26	-0.07	0.03	23.55	14.42	2.8	0.36	-0.39	-0.82	21.61
-0.26	0.04	0.01	24.72	17.39	16.35	0.33	-0.41	-0.85	21.61
-0.22	0.04	-0.05	12.06	24.53	24.44	0.3	-0.43	-0.87	21.35
-0.2	0.02	-0.03	14.78	21.25	19.07	0.27	-0.44	-0.91	21.87
-0.17	-0.04	0	20.19	16	10.06	0.23	-0.44	-0.94	21.61
-0.16	-0.02	-0.02	9.66	15.64	14.32	0.2	-0.45	-0.97	21.61
-0.18	0.01	0.02	7.32	13.28	25.12	0.16	-0.45	-0.98	21.61
-1.48	-0.06	-0.17	-73.82	173.33	198.57	0.2	-0.4	-1.13	23.17
-1.73	-0.25	-1.42	-136.68	-286.72	201.39	-0.31	-0.02	-0.98	23.17
-0.4	-0.7	1.04	286.68	-286.72	286.68	0.02	0.37	-1.05	22.91
0.71	-0.36	0.02	286.68	6.22	101.19	0.35	0.19	-1.21	22.39
2.96	0.28	-0.64	286.68	-286.72	286.68	0.27	0.01	-1.33	21.61
2.64	0.85	1.23	286.68	286.68	188.07	0.24	-0.2	-1.32	21.61
0.57	-0.25	1.08	286.68	286.68	286.68	0.32	-0.25	-1.24	21.09
1.79	-1.9	-0.24	286.68	-286.72	157.38	0.48	-0.29	-0.86	21.09
0.49	0.12	0.42	286.68	105.4	99.58	0.35	-0.39	-1.01	20.83
1.54	0.93	0.01	286.68	286.68	-286.72	0.53	-0.13	-0.72	20.83
1.23	-0.2	0.39	286.68	-44.73	80.83	0.58	-0.03	-0.84	20.57
1.34	0.57	0.16	286.68	194.86	-104.95	0.55	0.07	-1	20.57
0.85	0.19	-0.15	286.68	-5.34	-286.72	0.38	0.29	-1.08	20.3
0.75	0.28	-0.5	286.68	-93.14	-286.72	0.32	0.33	-1.06	20.04
1.41	0.03	0.11	286.68	-33.61	-89.6	0.38	0.28	-1.07	20.04
0.9	0.5	-0.1	286.68	243.6	-245.25	0.53	0.2	-0.9	19.78
1.38	-0.67	-0.35	286.68	-262.16	40.48	0.5	-0.04	-1.13	19.52
0.7	0.17	0.27	286.68	194.27	26.89	0.47	-0.16	-1.13	19.78
0.87	0.52	-0.18	286.68	255.56	-286.72	0.57	-0.12	-0.85	19.52
1.11	-0.22	0.06	286.68	-182.35	-37.14	0.58	0	-0.86	19.26
1.27	0.52	0	286.68	167.69	-171.25	0.57	-0.03	-0.93	19
1.12	-0.31	-0.13	286.68	-149.34	-24.38	0.52	-0.23	-0.96	19
1.05	0.17	0.03	286.68	168.17	-109.95	0.36	-0.18	-0.56	19
0.78	0.03	-0.15	286.68	-67.95	-229.01	0.3	0.37	-0.78	19
0.95	0.04	0.07	286.68	48.33	-15.7	0.41	-0.16	-1.21	18.48
1.13	0.09	-0.27	286.68	-41.13	-69.18	0.4	-0.04	-0.54	18.48
1.11	0.03	-0.11	286.68	19.35	-71.95	0.49	-0.01	-1.15	18.48
1	0.09	-0.14	286.68	1.56	-19.46	0.5	0.18	-0.72	18.22
1.18	0.14	-0.08	261.46	30.06	-55.53	0.53	-0.11	-0.7	18.22
1.07	0.04	0.17	123.29	72.11	-36.35	0.57	-0.12	-0.79	17.96
1.16	-0.03	-0.02	32.97	69.02	33.41	0.58	-0.09	-0.79	18.22
1.04	-0.05	-0.02	-76.44	71.74	33.81	0.56	-0.07	-0.72	17.96
1.08	0.18	-0.02	-188.1	68.1	4.13	0.54	0.05	-0.68	17.96
